frame,time_s,shoulder_tilt_deg,clavicle_tilt_deg,left_shoulder_height,right_shoulder_height,shoulder_imbalance,shoulder_width_px,lateral_shift_pct,trunk_tilt_deg
48,1.6093880972338643,-3.5763344584003187,45.00000066982744,-37.38863205909729,-35.68914878368378,-1.6994832754135132,27.191731770833258,43.7500000000011,87.89448586032961
50,1.6764459346186087,-6.709836652610055,-0.0,-39.16584575176239,-35.760120034217834,-3.4057257175445557,28.948669274647955,32.35294117647054,88.30284377081965
52,1.7435037720033528,5.194429028382573,-0.0,-34.0294623374939,-37.432408571243286,3.4029462337493896,37.432407697041754,22.727272727273277,88.25105399626548
54,1.8105616093880972,2.7263110574087577,-0.0,-35.77150046825409,-37.474905252456665,1.7034047842025757,35.771499633788835,35.71428571428626,87.37759860054797
56,1.8776194467728415,3.0127875041833403,-0.0,-35.75426959991455,-37.45685386657715,1.7025842666625977,32.349101066589355,39.473684210526315,87.8307424102715
58,1.944677284157586,-0.0,-0.0,-35.77411651611328,-35.77411651611328,0.0,25.552940368652344,50.0,87.3775985394589
60,2.0117351215423303,-0.0,-0.0,-37.396819829940796,-37.396819829940796,0.0,27.197687784830578,43.75000000000052,87.39743773674542
62,2.0787929589270746,-0.0,-0.0,-37.460166215896606,-37.460166215896606,0.0,22.135552247365467,57.692307692307295,88.27733796855446
64,2.145850796311819,-6.34019174590991,-0.0,-37.437520027160645,-35.735814571380615,-1.7017054557800293,15.315349102020264,83.33333333333334,88.27733792837721
66,2.2129086336965633,-0.0,90.0,-35.790050625801086,-35.790050625801086,0.0,20.451457977294922,50.0,88.26429537062748
68,2.2799664710813077,-26.56505117707799,-0.0,-35.785221576690674,-34.08116340637207,-1.7040581703186035,3.408116340637207,350.0,89.13194855025446
70,2.347024308466052,-63.43494882292201,90.0,-35.822702407836914,-32.4110164642334,-3.4116859436035156,1.7058429718017578,650.0,89.56263613247927
72,2.4140821458507964,-149.0362446507682,90.0,-37.363704204559326,-32.26865363121033,-5.095050573348999,8.49175135294604,150.0,90.0
74,2.4811399832355407,-26.56505117707799,45.0,-34.122514724731445,-32.41638898849487,-1.7061257362365723,3.4122514724731445,200.0,90.43405063213942
76,2.548197820620285,-158.19859005080068,-0.0,-33.92390966415405,-30.531518697738647,-3.3923909664154053,8.480977217356212,130.0000000000032,90.43405062197137
78,2.6152556580050295,-180.0,90.0,-32.25837516784668,-32.25837516784668,0.0,3.395618438720703,250.0,90.43405063213942
80,2.682313495389774,134.99999866126367,-0.0,-30.611819744110107,-32.31247639656067,1.7006566524505615,1.700656572977664,450.0000000000167,90.87467673025341
82,2.749371332774518,23.19859051364819,90.0,-31.998210906982422,-37.050559997558594,5.052349090576172,11.788814544677734,7.142857142857142,91.30195267257888
